bin_low,bin_high,count,accuracy,confidence,Model
0.0,0.1,0,,,w/o RAG
0.1,0.2,0,,,w/o RAG
0.2,0.30000000000000004,500,0.288,0.2515142542955363,w/o RAG
0.30000000000000004,0.4,0,,,w/o RAG
0.4,0.5,0,,,w/o RAG
0.5,0.6000000000000001,0,,,w/o RAG
0.6000000000000001,0.7000000000000001,0,,,w/o RAG
0.7000000000000001,0.8,0,,,w/o RAG
0.8,0.9,0,,,w/o RAG
0.9,1.0,0,,,w/o RAG
0.0,0.1,0,,,Sparse Only
0.1,0.2,0,,,Sparse Only
0.2,0.30000000000000004,34,0.5294117647058824,0.26637887895889945,Sparse Only
0.30000000000000004,0.4,86,0.4883720930232558,0.3523778141041719,Sparse Only
0.4,0.5,154,0.6558441558441559,0.4559738466097698,Sparse Only
0.5,0.6000000000000001,76,0.8026315789473685,0.538671491543376,Sparse Only
0.6000000000000001,0.7000000000000001,23,0.782608695652174,0.6486240711735415,Sparse Only
0.7000000000000001,0.8,122,0.8524590163934426,0.7460771841593179,Sparse Only
0.8,0.9,5,1.0,0.8099696669804745,Sparse Only
0.9,1.0,0,,,Sparse Only
0.0,0.1,0,,,Dense Only
0.1,0.2,0,,,Dense Only
0.2,0.30000000000000004,80,0.4375,0.25764316851287133,Dense Only
0.30000000000000004,0.4,59,0.6610169491525424,0.35570809108168266,Dense Only
0.4,0.5,122,0.6557377049180327,0.45713511720190464,Dense Only
0.5,0.6000000000000001,68,0.8382352941176471,0.5441668122034282,Dense Only
0.6000000000000001,0.7000000000000001,20,0.85,0.6483273833215041,Dense Only
0.7000000000000001,0.8,141,0.8226950354609929,0.7473149185808289,Dense Only
0.8,0.9,10,0.5,0.8267312713422102,Dense Only
0.9,1.0,0,,,Dense Only
0.0,0.1,0,,,Hybrid w/o Rerank
0.1,0.2,0,,,Hybrid w/o Rerank
0.2,0.30000000000000004,39,0.5641025641025641,0.26064832423118384,Hybrid w/o Rerank
0.30000000000000004,0.4,84,0.6309523809523809,0.3546046361277992,Hybrid w/o Rerank
0.4,0.5,134,0.6865671641791045,0.4597063028201131,Hybrid w/o Rerank
0.5,0.6000000000000001,70,0.9142857142857143,0.533567901629385,Hybrid w/o Rerank
0.6000000000000001,0.7000000000000001,25,0.92,0.6470993497925192,Hybrid w/o Rerank
0.7000000000000001,0.8,143,0.8951048951048951,0.7431617490935067,Hybrid w/o Rerank
0.8,0.9,5,1.0,0.8144896123364903,Hybrid w/o Rerank
0.9,1.0,0,,,Hybrid w/o Rerank
0.0,0.1,0,,,VERITA-QA
0.1,0.2,0,,,VERITA-QA
0.2,0.30000000000000004,49,0.5510204081632653,0.26316419838397176,VERITA-QA
0.30000000000000004,0.4,62,0.532258064516129,0.35578152318189876,VERITA-QA
0.4,0.5,151,0.6291390728476821,0.4583547511447766,VERITA-QA
0.5,0.6000000000000001,78,0.8333333333333334,0.5428341085877931,VERITA-QA
0.6000000000000001,0.7000000000000001,20,0.95,0.6508930088750101,VERITA-QA
0.7000000000000001,0.8,131,0.8702290076335878,0.7463388677175071,VERITA-QA
0.8,0.9,9,0.7777777777777778,0.8212815836331322,VERITA-QA
0.9,1.0,0,,,VERITA-QA
